fecha_fallecimiento,residencia_provincia_nombre,lat,lng,Casos
2020-03-07,CABA,-34.58591,-58.38171,1
2020-03-13,Chaco,-27.45138,-58.98666,1
2020-03-18,CABA,-34.58591,-58.38171,1
2020-03-21,Buenos Aires,-36.15722,-60.56972,1
2020-03-24,Buenos Aires,-36.15722,-60.56972,2
2020-03-24,Chaco,-27.45138,-58.98666,1
2020-03-25,CABA,-34.58591,-58.38171,2
2020-03-25,Chaco,-27.45138,-58.98666,2
2020-03-26,Buenos Aires,-36.15722,-60.56972,3
2020-03-26,Río Negro,-40.8,-63,1
2020-03-27,CABA,-34.58591,-58.38171,1
2020-03-27,Mendoza,-32.89027,-68.84722,1
2020-03-28,Buenos Aires,-36.15722,-60.56972,1
2020-03-28,CABA,-34.58591,-58.38171,1
2020-03-29,Buenos Aires,-36.15722,-60.56972,1
2020-03-29,Córdoba,-32,-64,1
2020-03-29,Tucumán,-27,-65.5,1
2020-03-30,Buenos Aires,-36.15722,-60.56972,1
2020-03-30,Neuquén,-38.95166,-68.07444,1
2020-03-30,Tucumán,-27,-65.5,1
2020-03-31,Chaco,-27.45138,-58.98666,1
2020-03-31,La Rioja,-29.1,-66.85,1
2020-03-31,Neuquén,-38.95166,-68.07444,1
2020-04-01,Buenos Aires,-36.15722,-60.56972,2
2020-04-01,CABA,-34.58591,-58.38171,1
2020-04-01,Chaco,-27.45138,-58.98666,1
2020-04-01,Mendoza,-32.89027,-68.84722,1
2020-04-01,Santa Fe,-33.72277,-62.24611,1
2020-04-01,Tucumán,-27,-65.5,1
2020-04-02,Buenos Aires,-36.15722,-60.56972,3
2020-04-02,Chaco,-27.45138,-58.98666,1
2020-04-02,Mendoza,-32.89027,-68.84722,1
2020-04-03,Buenos Aires,-36.15722,-60.56972,3
2020-04-04,Buenos Aires,-36.15722,-60.56972,1
2020-04-04,CABA,-34.58591,-58.38171,2
2020-04-05,Buenos Aires,-36.15722,-60.56972,5
2020-04-05,CABA,-34.58591,-58.38171,3
2020-04-05,Córdoba,-32,-64,1
2020-04-06,Buenos Aires,-36.15722,-60.56972,3
2020-04-06,CABA,-34.58591,-58.38171,3
2020-04-06,Neuquén,-38.95166,-68.07444,1
2020-04-07,Buenos Aires,-36.15722,-60.56972,4
2020-04-07,CABA,-34.58591,-58.38171,1
2020-04-07,Mendoza,-32.89027,-68.84722,1
2020-04-08,Buenos Aires,-36.15722,-60.56972,5
2020-04-08,CABA,-34.58591,-58.38171,3
2020-04-08,Chaco,-27.45138,-58.98666,1
2020-04-08,Neuquén,-38.95166,-68.07444,1
2020-04-08,Tucumán,-27,-65.5,1
2020-04-09,Buenos Aires,-36.15722,-60.56972,2
2020-04-09,CABA,-34.58591,-58.38171,4
2020-04-09,Río Negro,-40.8,-63,1
2020-04-09,Santa Fe,-33.72277,-62.24611,1
2020-04-10,Buenos Aires,-36.15722,-60.56972,2
2020-04-10,CABA,-34.58591,-58.38171,2
2020-04-11,Buenos Aires,-36.15722,-60.56972,2
2020-04-11,CABA,-34.58591,-58.38171,2
2020-04-11,Córdoba,-32,-64,1
2020-04-12,Buenos Aires,-36.15722,-60.56972,2
2020-04-12,CABA,-34.58591,-58.38171,2
2020-04-13,Buenos Aires,-36.15722,-60.56972,2
2020-04-13,CABA,-34.58591,-58.38171,1
2020-04-13,Chaco,-27.45138,-58.98666,1
2020-04-13,Córdoba,-32,-64,1
2020-04-13,La Rioja,-29.1,-66.85,1
2020-04-13,Río Negro,-40.8,-63,1
2020-04-14,Buenos Aires,-36.15722,-60.56972,1
2020-04-14,CABA,-34.58591,-58.38171,6
2020-04-14,Chaco,-27.45138,-58.98666,1
2020-04-14,Mendoza,-32.89027,-68.84722,1
2020-04-15,Buenos Aires,-36.15722,-60.56972,5
2020-04-15,Córdoba,-32,-64,2
2020-04-15,Mendoza,-32.89027,-68.84722,1
2020-04-16,Buenos Aires,-36.15722,-60.56972,3
2020-04-16,CABA,-34.58591,-58.38171,3
2020-04-16,Mendoza,-32.89027,-68.84722,1
2020-04-17,Buenos Aires,-36.15722,-60.56972,2
2020-04-17,CABA,-34.58591,-58.38171,2
2020-04-17,La Rioja,-29.1,-66.85,1
2020-04-18,Buenos Aires,-36.15722,-60.56972,4
2020-04-19,Buenos Aires,-36.15722,-60.56972,2
2020-04-19,CABA,-34.58591,-58.38171,1
2020-04-19,Chaco,-27.45138,-58.98666,1
2020-04-19,Córdoba,-32,-64,1
2020-04-19,Mendoza,-32.89027,-68.84722,1
2020-04-19,Río Negro,-40.8,-63,1
2020-04-20,Buenos Aires,-36.15722,-60.56972,2
2020-04-20,CABA,-34.58591,-58.38171,1
2020-04-20,Córdoba,-32,-64,2
2020-04-20,Río Negro,-40.8,-63,2
2020-04-21,Buenos Aires,-36.15722,-60.56972,3
2020-04-21,CABA,-34.58591,-58.38171,3
2020-04-21,La Rioja,-29.1,-66.85,2
2020-04-22,Buenos Aires,-36.15722,-60.56972,6
2020-04-22,CABA,-34.58591,-58.38171,2
2020-04-22,Córdoba,-32,-64,1
2020-04-22,La Rioja,-29.1,-66.85,1
2020-04-23,Buenos Aires,-36.15722,-60.56972,4
2020-04-23,CABA,-34.58591,-58.38171,2
2020-04-23,Mendoza,-32.89027,-68.84722,1
2020-04-23,Misiones,-26.91666,-54.51666,1
2020-04-24,Buenos Aires,-36.15722,-60.56972,6
2020-04-24,CABA,-34.58591,-58.38171,5
2020-04-24,Chaco,-27.45138,-58.98666,1
2020-04-24,Córdoba,-32,-64,1
2020-04-25,Buenos Aires,-36.15722,-60.56972,4
2020-04-25,CABA,-34.58591,-58.38171,4
2020-04-25,Córdoba,-32,-64,1
2020-04-25,Río Negro,-40.8,-63,1
2020-04-26,Buenos Aires,-36.15722,-60.56972,5
2020-04-26,CABA,-34.58591,-58.38171,1
2020-04-27,Buenos Aires,-36.15722,-60.56972,6
2020-04-27,CABA,-34.58591,-58.38171,3
2020-04-27,Chaco,-27.45138,-58.98666,1
2020-04-27,Córdoba,-32,-64,2
2020-04-28,Buenos Aires,-36.15722,-60.56972,4
2020-04-28,CABA,-34.58591,-58.38171,5
2020-04-28,Chaco,-27.45138,-58.98666,1
2020-04-28,Neuquén,-38.95166,-68.07444,1
2020-04-29,Buenos Aires,-36.15722,-60.56972,4
2020-04-29,CABA,-34.58591,-58.38171,5
2020-04-29,Río Negro,-40.8,-63,1
2020-04-30,Buenos Aires,-36.15722,-60.56972,6
2020-04-30,CABA,-34.58591,-58.38171,3
2020-05-01,Buenos Aires,-36.15722,-60.56972,7
2020-05-01,CABA,-34.58591,-58.38171,8
2020-05-01,Chaco,-27.45138,-58.98666,3
2020-05-01,Córdoba,-32,-64,2
2020-05-02,Buenos Aires,-36.15722,-60.56972,1
2020-05-02,CABA,-34.58591,-58.38171,4
2020-05-02,Chaco,-27.45138,-58.98666,2
2020-05-02,Córdoba,-32,-64,3
2020-05-03,Buenos Aires,-36.15722,-60.56972,6
2020-05-03,CABA,-34.58591,-58.38171,1
2020-05-03,Río Negro,-40.8,-63,1
2020-05-04,Buenos Aires,-36.15722,-60.56972,2
2020-05-04,CABA,-34.58591,-58.38171,3
2020-05-04,Córdoba,-32,-64,2
2020-05-05,Buenos Aires,-36.15722,-60.56972,2
2020-05-05,CABA,-34.58591,-58.38171,2
2020-05-05,Chaco,-27.45138,-58.98666,1
2020-05-06,Buenos Aires,-36.15722,-60.56972,7
2020-05-06,CABA,-34.58591,-58.38171,1
2020-05-06,Río Negro,-40.8,-63,1
2020-05-07,Buenos Aires,-36.15722,-60.56972,7
2020-05-07,CABA,-34.58591,-58.38171,2
2020-05-07,Santa Fe,-33.72277,-62.24611,1
2020-05-08,Buenos Aires,-36.15722,-60.56972,3
2020-05-08,CABA,-34.58591,-58.38171,3
2020-05-08,La Rioja,-29.1,-66.85,1
2020-05-09,Buenos Aires,-36.15722,-60.56972,3
2020-05-09,CABA,-34.58591,-58.38171,4
2020-05-10,Buenos Aires,-36.15722,-60.56972,4
2020-05-10,CABA,-34.58591,-58.38171,3
2020-05-10,Chaco,-27.45138,-58.98666,1
2020-05-10,Río Negro,-40.8,-63,1
2020-05-11,Buenos Aires,-36.15722,-60.56972,5
2020-05-11,CABA,-34.58591,-58.38171,5
2020-05-11,Chaco,-27.45138,-58.98666,2
2020-05-11,Córdoba,-32,-64,1
2020-05-12,Buenos Aires,-36.15722,-60.56972,2
2020-05-12,CABA,-34.58591,-58.38171,3
2020-05-13,Buenos Aires,-36.15722,-60.56972,5
2020-05-13,CABA,-34.58591,-58.38171,5
2020-05-13,Chaco,-27.45138,-58.98666,1
2020-05-13,Río Negro,-40.8,-63,1
2020-05-14,Buenos Aires,-36.15722,-60.56972,6
2020-05-14,Chaco,-27.45138,-58.98666,1
2020-05-14,Córdoba,-32,-64,2
2020-05-15,Buenos Aires,-36.15722,-60.56972,6
2020-05-15,CABA,-34.58591,-58.38171,5
2020-05-15,Chaco,-27.45138,-58.98666,3
2020-05-16,Buenos Aires,-36.15722,-60.56972,3
2020-05-16,CABA,-34.58591,-58.38171,2
2020-05-16,Chaco,-27.45138,-58.98666,2
2020-05-16,Río Negro,-40.8,-63,1
2020-05-17,Buenos Aires,-36.15722,-60.56972,3
2020-05-17,CABA,-34.58591,-58.38171,6
2020-05-17,Chaco,-27.45138,-58.98666,1
2020-05-17,Córdoba,-32,-64,1
2020-05-18,Buenos Aires,-36.15722,-60.56972,6
2020-05-18,CABA,-34.58591,-58.38171,4
2020-05-18,Chaco,-27.45138,-58.98666,4
2020-05-19,Buenos Aires,-36.15722,-60.56972,4
2020-05-19,CABA,-34.58591,-58.38171,1
2020-05-19,Chaco,-27.45138,-58.98666,1
2020-05-19,Córdoba,-32,-64,1
2020-05-19,Río Negro,-40.8,-63,1
2020-05-20,Buenos Aires,-36.15722,-60.56972,4
2020-05-20,CABA,-34.58591,-58.38171,6
2020-05-20,Chaco,-27.45138,-58.98666,2
2020-05-20,Córdoba,-32,-64,1
2020-05-21,Buenos Aires,-36.15722,-60.56972,9
2020-05-21,CABA,-34.58591,-58.38171,5
2020-05-21,Río Negro,-40.8,-63,1
2020-05-22,Buenos Aires,-36.15722,-60.56972,7
2020-05-22,CABA,-34.58591,-58.38171,3
2020-05-22,Chaco,-27.45138,-58.98666,3
2020-05-22,Río Negro,-40.8,-63,2
2020-05-23,Buenos Aires,-36.15722,-60.56972,5
2020-05-23,CABA,-34.58591,-58.38171,2
2020-05-23,Chaco,-27.45138,-58.98666,1
2020-05-24,Buenos Aires,-36.15722,-60.56972,3
2020-05-24,CABA,-34.58591,-58.38171,6
2020-05-24,Chaco,-27.45138,-58.98666,1
2020-05-24,Córdoba,-32,-64,1
2020-05-25,Buenos Aires,-36.15722,-60.56972,6
2020-05-25,CABA,-34.58591,-58.38171,6
2020-05-25,Chaco,-27.45138,-58.98666,2
2020-05-25,Río Negro,-40.8,-63,1
2020-05-26,Buenos Aires,-36.15722,-60.56972,3
2020-05-26,CABA,-34.58591,-58.38171,5
2020-05-26,Chaco,-27.45138,-58.98666,1
2020-05-26,Córdoba,-32,-64,1
2020-05-27,Buenos Aires,-36.15722,-60.56972,7
2020-05-27,CABA,-34.58591,-58.38171,4
2020-05-27,Chaco,-27.45138,-58.98666,1
2020-05-28,Buenos Aires,-36.15722,-60.56972,6
2020-05-28,CABA,-34.58591,-58.38171,3
2020-05-28,Chaco,-27.45138,-58.98666,4
2020-05-29,Buenos Aires,-36.15722,-60.56972,4
2020-05-29,CABA,-34.58591,-58.38171,7
2020-05-29,Chaco,-27.45138,-58.98666,2
2020-05-30,Buenos Aires,-36.15722,-60.56972,7
2020-05-30,CABA,-34.58591,-58.38171,9
2020-05-31,Buenos Aires,-36.15722,-60.56972,8
2020-05-31,CABA,-34.58591,-58.38171,2
2020-05-31,Chaco,-27.45138,-58.98666,2
2020-05-31,Córdoba,-32,-64,1
2020-06-01,Buenos Aires,-36.15722,-60.56972,10
2020-06-01,CABA,-34.58591,-58.38171,5
2020-06-01,Chaco,-27.45138,-58.98666,3
2020-06-02,Buenos Aires,-36.15722,-60.56972,7
2020-06-02,CABA,-34.58591,-58.38171,6
2020-06-03,Buenos Aires,-36.15722,-60.56972,11
2020-06-03,CABA,-34.58591,-58.38171,13
2020-06-03,Chaco,-27.45138,-58.98666,1
2020-06-03,Córdoba,-32,-64,1
2020-06-03,Río Negro,-40.8,-63,2
2020-06-04,Buenos Aires,-36.15722,-60.56972,8
2020-06-04,CABA,-34.58591,-58.38171,16
2020-06-04,Chaco,-27.45138,-58.98666,2
2020-06-05,Buenos Aires,-36.15722,-60.56972,7
2020-06-05,CABA,-34.58591,-58.38171,9
2020-06-05,Chaco,-27.45138,-58.98666,1
2020-06-05,Córdoba,-32,-64,1
2020-06-06,Buenos Aires,-36.15722,-60.56972,10
2020-06-06,CABA,-34.58591,-58.38171,12
2020-06-06,Chaco,-27.45138,-58.98666,1
2020-06-06,La Rioja,-29.1,-66.85,1
2020-06-06,Río Negro,-40.8,-63,1
2020-06-07,Buenos Aires,-36.15722,-60.56972,15
2020-06-07,CABA,-34.58591,-58.38171,4
2020-06-07,Chaco,-27.45138,-58.98666,1
2020-06-07,Río Negro,-40.8,-63,1
2020-06-08,Buenos Aires,-36.15722,-60.56972,17
2020-06-08,CABA,-34.58591,-58.38171,12
2020-06-08,Chaco,-27.45138,-58.98666,1
2020-06-08,Río Negro,-40.8,-63,2
2020-06-09,Buenos Aires,-36.15722,-60.56972,7
2020-06-09,CABA,-34.58591,-58.38171,10
2020-06-10,Buenos Aires,-36.15722,-60.56972,13
2020-06-10,CABA,-34.58591,-58.38171,8
2020-06-10,Chaco,-27.45138,-58.98666,2
2020-06-10,Chubut,-43.3,-65.1,1
2020-06-10,Misiones,-26.91666,-54.51666,1
2020-06-10,Río Negro,-40.8,-63,1
2020-06-11,Buenos Aires,-36.15722,-60.56972,12
2020-06-11,CABA,-34.58591,-58.38171,11
2020-06-11,Chaco,-27.45138,-58.98666,1
2020-06-11,Río Negro,-40.8,-63,1
2020-06-12,Buenos Aires,-36.15722,-60.56972,12
2020-06-12,CABA,-34.58591,-58.38171,8
2020-06-12,Chaco,-27.45138,-58.98666,4
2020-06-12,Córdoba,-32,-64,1
2020-06-12,Jujuy,-23.75,-65.5,1
2020-06-12,Río Negro,-40.8,-63,1
2020-06-13,Buenos Aires,-36.15722,-60.56972,5
2020-06-13,CABA,-34.58591,-58.38171,8
2020-06-13,Río Negro,-40.8,-63,1
2020-06-14,Buenos Aires,-36.15722,-60.56972,10
2020-06-14,CABA,-34.58591,-58.38171,18
2020-06-14,Chaco,-27.45138,-58.98666,5
2020-06-14,Córdoba,-32,-64,2
2020-06-15,Buenos Aires,-36.15722,-60.56972,12
2020-06-15,CABA,-34.58591,-58.38171,9
2020-06-15,Neuquén,-38.95166,-68.07444,1
2020-06-15,Río Negro,-40.8,-63,1
2020-06-15,Santa Fe,-33.72277,-62.24611,1
2020-06-16,Buenos Aires,-36.15722,-60.56972,10
2020-06-16,CABA,-34.58591,-58.38171,12
2020-06-17,Buenos Aires,-36.15722,-60.56972,16
2020-06-17,CABA,-34.58591,-58.38171,10
2020-06-17,Chaco,-27.45138,-58.98666,2
2020-06-17,Neuquén,-38.95166,-68.07444,1
2020-06-17,Río Negro,-40.8,-63,3
2020-06-17,Tierra del Fuego,-54.36194,-67.63805,1
2020-06-18,Buenos Aires,-36.15722,-60.56972,15
2020-06-18,CABA,-34.58591,-58.38171,12
2020-06-18,Chaco,-27.45138,-58.98666,2
2020-06-18,Río Negro,-40.8,-63,1
2020-06-19,Buenos Aires,-36.15722,-60.56972,11
2020-06-19,CABA,-34.58591,-58.38171,9
2020-06-19,Chaco,-27.45138,-58.98666,8
2020-06-19,Río Negro,-40.8,-63,1
2020-06-20,Buenos Aires,-36.15722,-60.56972,6
2020-06-20,CABA,-34.58591,-58.38171,13
2020-06-20,Neuquén,-38.95166,-68.07444,1
2020-06-20,Río Negro,-40.8,-63,1
2020-06-21,Buenos Aires,-36.15722,-60.56972,10
2020-06-21,CABA,-34.58591,-58.38171,13
2020-06-21,Chaco,-27.45138,-58.98666,1
2020-06-21,Río Negro,-40.8,-63,2
2020-06-22,Buenos Aires,-36.15722,-60.56972,13
2020-06-22,CABA,-34.58591,-58.38171,11
2020-06-22,Chaco,-27.45138,-58.98666,2
2020-06-22,Córdoba,-32,-64,1
2020-06-22,Río Negro,-40.8,-63,2
2020-06-23,Buenos Aires,-36.15722,-60.56972,18
2020-06-23,CABA,-34.58591,-58.38171,14
2020-06-23,Chaco,-27.45138,-58.98666,2
2020-06-23,Neuquén,-38.95166,-68.07444,2
2020-06-23,Río Negro,-40.8,-63,1
2020-06-24,Buenos Aires,-36.15722,-60.56972,21
2020-06-24,CABA,-34.58591,-58.38171,12
2020-06-24,Neuquén,-38.95166,-68.07444,1
2020-06-24,Río Negro,-40.8,-63,1
2020-06-25,Buenos Aires,-36.15722,-60.56972,21
2020-06-25,CABA,-34.58591,-58.38171,13
2020-06-25,Chaco,-27.45138,-58.98666,2
2020-06-26,Buenos Aires,-36.15722,-60.56972,17
2020-06-26,CABA,-34.58591,-58.38171,14
2020-06-26,Chaco,-27.45138,-58.98666,1
2020-06-27,Buenos Aires,-36.15722,-60.56972,22
2020-06-27,CABA,-34.58591,-58.38171,15
2020-06-27,Chaco,-27.45138,-58.98666,2
2020-06-27,Córdoba,-32,-64,1
2020-06-27,Mendoza,-32.89027,-68.84722,1
2020-06-27,Neuquén,-38.95166,-68.07444,1
2020-06-28,Buenos Aires,-36.15722,-60.56972,18
2020-06-28,CABA,-34.58591,-58.38171,12
2020-06-28,Chaco,-27.45138,-58.98666,2
2020-06-28,Neuquén,-38.95166,-68.07444,1
2020-06-29,Buenos Aires,-36.15722,-60.56972,14
2020-06-29,CABA,-34.58591,-58.38171,8
2020-06-29,Chaco,-27.45138,-58.98666,2
2020-06-29,La Rioja,-29.1,-66.85,1
2020-06-30,Buenos Aires,-36.15722,-60.56972,19
2020-06-30,CABA,-34.58591,-58.38171,15
2020-07-01,Buenos Aires,-36.15722,-60.56972,30
2020-07-01,CABA,-34.58591,-58.38171,18
2020-07-01,Chaco,-27.45138,-58.98666,1
2020-07-02,Buenos Aires,-36.15722,-60.56972,20
2020-07-02,CABA,-34.58591,-58.38171,19
2020-07-02,Chaco,-27.45138,-58.98666,1
2020-07-02,Salta,-24.78333,-65.41666,1
2020-07-03,Buenos Aires,-36.15722,-60.56972,26
2020-07-03,CABA,-34.58591,-58.38171,14
2020-07-03,Chaco,-27.45138,-58.98666,3
2020-07-03,Neuquén,-38.95166,-68.07444,2
2020-07-03,Santa Fe,-33.72277,-62.24611,1
2020-07-04,Buenos Aires,-36.15722,-60.56972,32
2020-07-04,CABA,-34.58591,-58.38171,8
2020-07-04,Chaco,-27.45138,-58.98666,1
2020-07-04,Neuquén,-38.95166,-68.07444,2
2020-07-04,Santa Fe,-33.72277,-62.24611,1
2020-07-05,Buenos Aires,-36.15722,-60.56972,24
2020-07-05,CABA,-34.58591,-58.38171,12
2020-07-05,Chaco,-27.45138,-58.98666,1
2020-07-05,Neuquén,-38.95166,-68.07444,1
2020-07-05,Río Negro,-40.8,-63,3
2020-07-06,Buenos Aires,-36.15722,-60.56972,15
2020-07-06,CABA,-34.58591,-58.38171,9
2020-07-06,Chaco,-27.45138,-58.98666,1
2020-07-06,Río Negro,-40.8,-63,2
2020-07-07,Buenos Aires,-36.15722,-60.56972,24
2020-07-07,CABA,-34.58591,-58.38171,15
2020-07-08,Buenos Aires,-36.15722,-60.56972,11
2020-07-08,CABA,-34.58591,-58.38171,10
2020-07-08,Chaco,-27.45138,-58.98666,2
2020-07-09,Buenos Aires,-36.15722,-60.56972,2
2020-07-09,CABA,-34.58591,-58.38171,1
2020-07-09,Salta,-24.78333,-65.41666,1
