fecha_internacion,residencia_provincia_nombre,lat,lng,Casos
2020-03-01,CABA,-34.58591,-58.38171,1
2020-03-02,Córdoba,-32,-64,1
2020-03-03,Buenos Aires,-36.15722,-60.56972,1
2020-03-03,CABA,-34.58591,-58.38171,2
2020-03-04,CABA,-34.58591,-58.38171,1
2020-03-05,Buenos Aires,-36.15722,-60.56972,1
2020-03-05,CABA,-34.58591,-58.38171,1
2020-03-06,CABA,-34.58591,-58.38171,1
2020-03-06,Río Negro,-40.8,-63,1
2020-03-07,Buenos Aires,-36.15722,-60.56972,4
2020-03-08,Buenos Aires,-36.15722,-60.56972,1
2020-03-09,Buenos Aires,-36.15722,-60.56972,4
2020-03-09,CABA,-34.58591,-58.38171,2
2020-03-09,Chaco,-27.45138,-58.98666,1
2020-03-09,Entre Ríos,-32.04777,-60.2811,1
2020-03-10,CABA,-34.58591,-58.38171,2
2020-03-10,Chaco,-27.45138,-58.98666,1
2020-03-11,Buenos Aires,-36.15722,-60.56972,4
2020-03-11,CABA,-34.58591,-58.38171,6
2020-03-11,Chaco,-27.45138,-58.98666,1
2020-03-11,Córdoba,-32,-64,1
2020-03-11,Santa Fe,-33.72277,-62.24611,1
2020-03-12,Buenos Aires,-36.15722,-60.56972,2
2020-03-12,CABA,-34.58591,-58.38171,9
2020-03-12,Entre Ríos,-32.04777,-60.2811,1
2020-03-12,Salta,-24.78333,-65.41666,1
2020-03-13,Buenos Aires,-36.15722,-60.56972,6
2020-03-13,CABA,-34.58591,-58.38171,4
2020-03-13,Córdoba,-32,-64,1
2020-03-13,Río Negro,-40.8,-63,1
2020-03-13,Santa Cruz,-48.8238,-69.815,2
2020-03-14,Buenos Aires,-36.15722,-60.56972,5
2020-03-14,CABA,-34.58591,-58.38171,7
2020-03-14,Chaco,-27.45138,-58.98666,1
2020-03-14,Tucumán,-27,-65.5,1
2020-03-15,Buenos Aires,-36.15722,-60.56972,8
2020-03-15,CABA,-34.58591,-58.38171,7
2020-03-15,Córdoba,-32,-64,1
2020-03-15,San Luis,-33.3,-66.35,1
2020-03-16,Buenos Aires,-36.15722,-60.56972,3
2020-03-16,CABA,-34.58591,-58.38171,7
2020-03-16,Neuquén,-38.95166,-68.07444,2
2020-03-16,Santa Fe,-33.72277,-62.24611,1
2020-03-17,Buenos Aires,-36.15722,-60.56972,12
2020-03-17,CABA,-34.58591,-58.38171,13
2020-03-17,Córdoba,-32,-64,2
2020-03-17,La Rioja,-29.1,-66.85,1
2020-03-17,Mendoza,-32.89027,-68.84722,2
2020-03-17,Neuquén,-38.95166,-68.07444,1
2020-03-17,Tucumán,-27,-65.5,1
2020-03-18,Buenos Aires,-36.15722,-60.56972,16
2020-03-18,CABA,-34.58591,-58.38171,9
2020-03-18,Chaco,-27.45138,-58.98666,1
2020-03-18,Córdoba,-32,-64,3
2020-03-18,Mendoza,-32.89027,-68.84722,3
2020-03-18,Río Negro,-40.8,-63,1
2020-03-18,Santa Cruz,-48.8238,-69.815,1
2020-03-18,Santa Fe,-33.72277,-62.24611,2
2020-03-18,Tucumán,-27,-65.5,2
2020-03-19,Buenos Aires,-36.15722,-60.56972,7
2020-03-19,CABA,-34.58591,-58.38171,16
2020-03-19,Chaco,-27.45138,-58.98666,1
2020-03-19,San Luis,-33.3,-66.35,1
2020-03-20,Buenos Aires,-36.15722,-60.56972,17
2020-03-20,CABA,-34.58591,-58.38171,13
2020-03-20,Chaco,-27.45138,-58.98666,2
2020-03-20,Córdoba,-32,-64,2
2020-03-20,Entre Ríos,-32.04777,-60.2811,2
2020-03-20,Mendoza,-32.89027,-68.84722,1
2020-03-20,Santa Fe,-33.72277,-62.24611,4
2020-03-21,Buenos Aires,-36.15722,-60.56972,15
2020-03-21,CABA,-34.58591,-58.38171,18
2020-03-21,Chaco,-27.45138,-58.98666,2
2020-03-21,Córdoba,-32,-64,1
2020-03-21,Entre Ríos,-32.04777,-60.2811,2
2020-03-21,Mendoza,-32.89027,-68.84722,1
2020-03-21,Río Negro,-40.8,-63,1
2020-03-21,San Luis,-33.3,-66.35,1
2020-03-21,Santa Cruz,-48.8238,-69.815,1
2020-03-21,Santa Fe,-33.72277,-62.24611,2
2020-03-22,Buenos Aires,-36.15722,-60.56972,19
2020-03-22,CABA,-34.58591,-58.38171,22
2020-03-22,Chaco,-27.45138,-58.98666,3
2020-03-22,Mendoza,-32.89027,-68.84722,1
2020-03-22,Misiones,-26.91666,-54.51666,1
2020-03-22,Río Negro,-40.8,-63,1
2020-03-22,Santa Fe,-33.72277,-62.24611,1
2020-03-22,Tucumán,-27,-65.5,1
2020-03-23,Buenos Aires,-36.15722,-60.56972,22
2020-03-23,CABA,-34.58591,-58.38171,30
2020-03-23,Chaco,-27.45138,-58.98666,1
2020-03-23,Córdoba,-32,-64,1
2020-03-23,La Rioja,-29.1,-66.85,1
2020-03-23,Neuquén,-38.95166,-68.07444,1
2020-03-23,Río Negro,-40.8,-63,2
2020-03-23,San Luis,-33.3,-66.35,2
2020-03-23,Santa Cruz,-48.8238,-69.815,1
2020-03-23,Santa Fe,-33.72277,-62.24611,1
2020-03-23,Tucumán,-27,-65.5,1
2020-03-24,Buenos Aires,-36.15722,-60.56972,11
2020-03-24,CABA,-34.58591,-58.38171,26
2020-03-24,Córdoba,-32,-64,1
2020-03-24,Mendoza,-32.89027,-68.84722,3
2020-03-25,Buenos Aires,-36.15722,-60.56972,22
2020-03-25,CABA,-34.58591,-58.38171,14
2020-03-25,Chaco,-27.45138,-58.98666,1
2020-03-25,Córdoba,-32,-64,2
2020-03-25,La Pampa,-36.61666,-64.28333,1
2020-03-25,Mendoza,-32.89027,-68.84722,1
2020-03-25,Neuquén,-38.95166,-68.07444,3
2020-03-25,San Juan,-30.86666,-68.98333,1
2020-03-25,Santa Fe,-33.72277,-62.24611,3
2020-03-26,Buenos Aires,-36.15722,-60.56972,15
2020-03-26,CABA,-34.58591,-58.38171,17
2020-03-26,Chaco,-27.45138,-58.98666,1
2020-03-26,Córdoba,-32,-64,2
2020-03-26,Mendoza,-32.89027,-68.84722,3
2020-03-26,Neuquén,-38.95166,-68.07444,3
2020-03-26,Salta,-24.78333,-65.41666,1
2020-03-26,Santa Fe,-33.72277,-62.24611,1
2020-03-27,Buenos Aires,-36.15722,-60.56972,24
2020-03-27,CABA,-34.58591,-58.38171,17
2020-03-27,Córdoba,-32,-64,3
2020-03-27,Mendoza,-32.89027,-68.84722,4
2020-03-27,Misiones,-26.91666,-54.51666,1
2020-03-27,Santa Cruz,-48.8238,-69.815,1
2020-03-27,Santa Fe,-33.72277,-62.24611,2
2020-03-27,Tierra del Fuego,-54.36194,-67.63805,1
2020-03-28,Buenos Aires,-36.15722,-60.56972,20
2020-03-28,CABA,-34.58591,-58.38171,13
2020-03-28,Chaco,-27.45138,-58.98666,1
2020-03-28,Córdoba,-32,-64,1
2020-03-28,Entre Ríos,-32.04777,-60.2811,1
2020-03-28,Mendoza,-32.89027,-68.84722,2
2020-03-28,Neuquén,-38.95166,-68.07444,1
2020-03-28,Santa Cruz,-48.8238,-69.815,2
2020-03-28,Santa Fe,-33.72277,-62.24611,3
2020-03-29,Buenos Aires,-36.15722,-60.56972,17
2020-03-29,CABA,-34.58591,-58.38171,21
2020-03-29,Córdoba,-32,-64,1
2020-03-29,Mendoza,-32.89027,-68.84722,1
2020-03-29,Misiones,-26.91666,-54.51666,1
2020-03-29,Neuquén,-38.95166,-68.07444,3
2020-03-29,Santa Fe,-33.72277,-62.24611,3
2020-03-29,Tierra del Fuego,-54.36194,-67.63805,2
2020-03-30,Buenos Aires,-36.15722,-60.56972,26
2020-03-30,CABA,-34.58591,-58.38171,22
2020-03-30,Córdoba,-32,-64,3
2020-03-30,Mendoza,-32.89027,-68.84722,4
2020-03-30,Salta,-24.78333,-65.41666,1
2020-03-30,San Luis,-33.3,-66.35,1
2020-03-30,Santa Fe,-33.72277,-62.24611,7
2020-03-31,Buenos Aires,-36.15722,-60.56972,19
2020-03-31,CABA,-34.58591,-58.38171,21
2020-03-31,Chaco,-27.45138,-58.98666,1
2020-03-31,Neuquén,-38.95166,-68.07444,1
2020-03-31,Río Negro,-40.8,-63,3
2020-03-31,Santa Fe,-33.72277,-62.24611,2
2020-03-31,Tucumán,-27,-65.5,1
2020-04-01,Buenos Aires,-36.15722,-60.56972,11
2020-04-01,CABA,-34.58591,-58.38171,29
2020-04-01,Mendoza,-32.89027,-68.84722,1
2020-04-01,Neuquén,-38.95166,-68.07444,3
2020-04-01,Río Negro,-40.8,-63,2
2020-04-01,Santa Fe,-33.72277,-62.24611,2
2020-04-02,Buenos Aires,-36.15722,-60.56972,29
2020-04-02,CABA,-34.58591,-58.38171,26
2020-04-02,La Rioja,-29.1,-66.85,1
2020-04-02,Mendoza,-32.89027,-68.84722,3
2020-04-02,Neuquén,-38.95166,-68.07444,2
2020-04-02,Río Negro,-40.8,-63,2
2020-04-02,Santa Cruz,-48.8238,-69.815,2
2020-04-02,Santa Fe,-33.72277,-62.24611,3
2020-04-02,Tierra del Fuego,-54.36194,-67.63805,1
2020-04-03,Buenos Aires,-36.15722,-60.56972,17
2020-04-03,CABA,-34.58591,-58.38171,14
2020-04-03,Chaco,-27.45138,-58.98666,2
2020-04-03,Mendoza,-32.89027,-68.84722,2
2020-04-03,Neuquén,-38.95166,-68.07444,5
2020-04-03,Río Negro,-40.8,-63,2
2020-04-03,San Luis,-33.3,-66.35,1
2020-04-03,Santa Fe,-33.72277,-62.24611,1
2020-04-03,Tucumán,-27,-65.5,2
2020-04-04,Buenos Aires,-36.15722,-60.56972,13
2020-04-04,CABA,-34.58591,-58.38171,9
2020-04-04,Chaco,-27.45138,-58.98666,1
2020-04-04,Córdoba,-32,-64,2
2020-04-04,La Rioja,-29.1,-66.85,1
2020-04-04,Mendoza,-32.89027,-68.84722,1
2020-04-04,Neuquén,-38.95166,-68.07444,2
2020-04-04,Río Negro,-40.8,-63,3
2020-04-04,Santa Cruz,-48.8238,-69.815,1
2020-04-04,Santa Fe,-33.72277,-62.24611,2
2020-04-04,Tierra del Fuego,-54.36194,-67.63805,1
2020-04-05,Buenos Aires,-36.15722,-60.56972,12
2020-04-05,CABA,-34.58591,-58.38171,18
2020-04-05,Córdoba,-32,-64,2
2020-04-05,Neuquén,-38.95166,-68.07444,1
2020-04-05,Río Negro,-40.8,-63,2
2020-04-05,Santa Cruz,-48.8238,-69.815,1
2020-04-06,Buenos Aires,-36.15722,-60.56972,17
2020-04-06,CABA,-34.58591,-58.38171,17
2020-04-06,Chaco,-27.45138,-58.98666,1
2020-04-06,Córdoba,-32,-64,1
2020-04-06,Mendoza,-32.89027,-68.84722,2
2020-04-06,Neuquén,-38.95166,-68.07444,10
2020-04-06,Río Negro,-40.8,-63,7
2020-04-06,Santa Cruz,-48.8238,-69.815,2
2020-04-07,Buenos Aires,-36.15722,-60.56972,10
2020-04-07,CABA,-34.58591,-58.38171,14
2020-04-07,Córdoba,-32,-64,2
2020-04-07,Mendoza,-32.89027,-68.84722,8
2020-04-07,Neuquén,-38.95166,-68.07444,12
2020-04-07,Río Negro,-40.8,-63,3
2020-04-07,San Luis,-33.3,-66.35,1
2020-04-07,Santiago del Estero,-27.78333,-64.26666,1
2020-04-08,Buenos Aires,-36.15722,-60.56972,18
2020-04-08,CABA,-34.58591,-58.38171,16
2020-04-08,Córdoba,-32,-64,1
2020-04-08,Mendoza,-32.89027,-68.84722,2
2020-04-08,Neuquén,-38.95166,-68.07444,3
2020-04-08,Río Negro,-40.8,-63,4
2020-04-08,Santa Cruz,-48.8238,-69.815,1
2020-04-08,Santa Fe,-33.72277,-62.24611,1
2020-04-09,Buenos Aires,-36.15722,-60.56972,11
2020-04-09,CABA,-34.58591,-58.38171,4
2020-04-09,Mendoza,-32.89027,-68.84722,7
2020-04-09,Neuquén,-38.95166,-68.07444,1
2020-04-09,Río Negro,-40.8,-63,1
2020-04-09,San Juan,-30.86666,-68.98333,1
2020-04-09,Santa Cruz,-48.8238,-69.815,2
2020-04-09,Santa Fe,-33.72277,-62.24611,1
2020-04-10,Buenos Aires,-36.15722,-60.56972,13
2020-04-10,CABA,-34.58591,-58.38171,6
2020-04-10,Chubut,-43.3,-65.1,1
2020-04-10,Córdoba,-32,-64,4
2020-04-10,La Rioja,-29.1,-66.85,1
2020-04-10,Mendoza,-32.89027,-68.84722,2
2020-04-10,Neuquén,-38.95166,-68.07444,2
2020-04-10,Río Negro,-40.8,-63,8
2020-04-11,Buenos Aires,-36.15722,-60.56972,22
2020-04-11,CABA,-34.58591,-58.38171,7
2020-04-11,Córdoba,-32,-64,12
2020-04-11,La Rioja,-29.1,-66.85,1
2020-04-11,Mendoza,-32.89027,-68.84722,2
2020-04-11,Neuquén,-38.95166,-68.07444,2
2020-04-11,Río Negro,-40.8,-63,4
2020-04-11,Santa Cruz,-48.8238,-69.815,1
2020-04-11,Santa Fe,-33.72277,-62.24611,1
2020-04-11,Tierra del Fuego,-54.36194,-67.63805,1
2020-04-12,Buenos Aires,-36.15722,-60.56972,20
2020-04-12,CABA,-34.58591,-58.38171,9
2020-04-12,Chaco,-27.45138,-58.98666,4
2020-04-12,Córdoba,-32,-64,10
2020-04-12,Mendoza,-32.89027,-68.84722,3
2020-04-12,Neuquén,-38.95166,-68.07444,1
2020-04-12,Río Negro,-40.8,-63,3
2020-04-13,Buenos Aires,-36.15722,-60.56972,22
2020-04-13,CABA,-34.58591,-58.38171,15
2020-04-13,Chaco,-27.45138,-58.98666,2
2020-04-13,Córdoba,-32,-64,3
2020-04-13,Mendoza,-32.89027,-68.84722,3
2020-04-13,Río Negro,-40.8,-63,11
2020-04-14,Buenos Aires,-36.15722,-60.56972,22
2020-04-14,CABA,-34.58591,-58.38171,15
2020-04-14,Chaco,-27.45138,-58.98666,2
2020-04-14,Córdoba,-32,-64,4
2020-04-14,Mendoza,-32.89027,-68.84722,1
2020-04-14,Río Negro,-40.8,-63,3
2020-04-14,Santa Fe,-33.72277,-62.24611,1
2020-04-15,Buenos Aires,-36.15722,-60.56972,24
2020-04-15,CABA,-34.58591,-58.38171,8
2020-04-15,Mendoza,-32.89027,-68.84722,3
2020-04-15,Río Negro,-40.8,-63,10
2020-04-15,Santa Cruz,-48.8238,-69.815,1
2020-04-16,Buenos Aires,-36.15722,-60.56972,21
2020-04-16,CABA,-34.58591,-58.38171,12
2020-04-16,Chaco,-27.45138,-58.98666,2
2020-04-16,Córdoba,-32,-64,1
2020-04-16,Mendoza,-32.89027,-68.84722,1
2020-04-16,Misiones,-26.91666,-54.51666,2
2020-04-16,Neuquén,-38.95166,-68.07444,3
2020-04-16,Río Negro,-40.8,-63,4
2020-04-16,Santa Fe,-33.72277,-62.24611,1
2020-04-17,Buenos Aires,-36.15722,-60.56972,33
2020-04-17,CABA,-34.58591,-58.38171,14
2020-04-17,Chaco,-27.45138,-58.98666,1
2020-04-17,Mendoza,-32.89027,-68.84722,1
2020-04-17,Neuquén,-38.95166,-68.07444,2
2020-04-17,Río Negro,-40.8,-63,4
2020-04-17,Santa Fe,-33.72277,-62.24611,2
2020-04-18,Buenos Aires,-36.15722,-60.56972,22
2020-04-18,CABA,-34.58591,-58.38171,19
2020-04-18,Mendoza,-32.89027,-68.84722,1
2020-04-18,Neuquén,-38.95166,-68.07444,1
2020-04-18,Río Negro,-40.8,-63,5
2020-04-19,Buenos Aires,-36.15722,-60.56972,23
2020-04-19,CABA,-34.58591,-58.38171,22
2020-04-19,Chaco,-27.45138,-58.98666,1
2020-04-19,Neuquén,-38.95166,-68.07444,3
2020-04-19,Río Negro,-40.8,-63,11
2020-04-20,Buenos Aires,-36.15722,-60.56972,33
2020-04-20,CABA,-34.58591,-58.38171,17
2020-04-20,Chaco,-27.45138,-58.98666,1
2020-04-20,Córdoba,-32,-64,16
2020-04-20,Neuquén,-38.95166,-68.07444,2
2020-04-20,Río Negro,-40.8,-63,11
2020-04-21,Buenos Aires,-36.15722,-60.56972,19
2020-04-21,CABA,-34.58591,-58.38171,37
2020-04-21,Chaco,-27.45138,-58.98666,1
2020-04-21,Córdoba,-32,-64,3
2020-04-21,Río Negro,-40.8,-63,10
2020-04-21,Santa Fe,-33.72277,-62.24611,1
2020-04-22,Buenos Aires,-36.15722,-60.56972,24
2020-04-22,CABA,-34.58591,-58.38171,54
2020-04-22,Chaco,-27.45138,-58.98666,2
2020-04-22,Córdoba,-32,-64,1
2020-04-22,La Rioja,-29.1,-66.85,1
2020-04-22,Neuquén,-38.95166,-68.07444,2
2020-04-22,Río Negro,-40.8,-63,5
2020-04-23,Buenos Aires,-36.15722,-60.56972,31
2020-04-23,CABA,-34.58591,-58.38171,40
2020-04-23,Río Negro,-40.8,-63,4
2020-04-24,Buenos Aires,-36.15722,-60.56972,18
2020-04-24,CABA,-34.58591,-58.38171,31
2020-04-24,Chaco,-27.45138,-58.98666,2
2020-04-24,Córdoba,-32,-64,1
2020-04-24,La Rioja,-29.1,-66.85,1
2020-04-24,Misiones,-26.91666,-54.51666,1
2020-04-24,Río Negro,-40.8,-63,6
2020-04-25,Buenos Aires,-36.15722,-60.56972,22
2020-04-25,CABA,-34.58591,-58.38171,21
2020-04-25,Chaco,-27.45138,-58.98666,2
2020-04-25,Mendoza,-32.89027,-68.84722,2
2020-04-25,Misiones,-26.91666,-54.51666,1
2020-04-25,Río Negro,-40.8,-63,2
2020-04-25,Santa Cruz,-48.8238,-69.815,1
2020-04-26,Buenos Aires,-36.15722,-60.56972,19
2020-04-26,CABA,-34.58591,-58.38171,14
2020-04-26,Chaco,-27.45138,-58.98666,3
2020-04-26,Córdoba,-32,-64,1
2020-04-26,Mendoza,-32.89027,-68.84722,1
2020-04-26,Misiones,-26.91666,-54.51666,1
2020-04-26,Neuquén,-38.95166,-68.07444,3
2020-04-26,Río Negro,-40.8,-63,8
2020-04-26,Salta,-24.78333,-65.41666,1
2020-04-27,Buenos Aires,-36.15722,-60.56972,18
2020-04-27,CABA,-34.58591,-58.38171,29
2020-04-27,Chaco,-27.45138,-58.98666,2
2020-04-27,Córdoba,-32,-64,1
2020-04-27,Entre Ríos,-32.04777,-60.2811,1
2020-04-27,Mendoza,-32.89027,-68.84722,1
2020-04-27,Misiones,-26.91666,-54.51666,1
2020-04-27,Río Negro,-40.8,-63,4
2020-04-28,Buenos Aires,-36.15722,-60.56972,24
2020-04-28,CABA,-34.58591,-58.38171,12
2020-04-28,Córdoba,-32,-64,1
2020-04-28,Mendoza,-32.89027,-68.84722,1
2020-04-28,Misiones,-26.91666,-54.51666,4
2020-04-28,Río Negro,-40.8,-63,6
2020-04-29,Buenos Aires,-36.15722,-60.56972,21
2020-04-29,CABA,-34.58591,-58.38171,9
2020-04-29,Chaco,-27.45138,-58.98666,3
2020-04-29,Chubut,-43.3,-65.1,1
2020-04-29,Córdoba,-32,-64,2
2020-04-29,Entre Ríos,-32.04777,-60.2811,2
2020-04-29,Mendoza,-32.89027,-68.84722,5
2020-04-29,Misiones,-26.91666,-54.51666,6
2020-04-29,Neuquén,-38.95166,-68.07444,1
2020-04-29,Río Negro,-40.8,-63,6
2020-04-30,Buenos Aires,-36.15722,-60.56972,20
2020-04-30,CABA,-34.58591,-58.38171,29
2020-04-30,Chaco,-27.45138,-58.98666,3
2020-04-30,Córdoba,-32,-64,2
2020-04-30,Entre Ríos,-32.04777,-60.2811,1
2020-04-30,Mendoza,-32.89027,-68.84722,1
2020-04-30,Misiones,-26.91666,-54.51666,3
2020-04-30,Río Negro,-40.8,-63,6
2020-05-01,Buenos Aires,-36.15722,-60.56972,23
2020-05-01,CABA,-34.58591,-58.38171,17
2020-05-01,Chaco,-27.45138,-58.98666,1
2020-05-01,Córdoba,-32,-64,1
2020-05-01,Río Negro,-40.8,-63,5
2020-05-02,Buenos Aires,-36.15722,-60.56972,14
2020-05-02,CABA,-34.58591,-58.38171,30
2020-05-02,Chaco,-27.45138,-58.98666,3
2020-05-02,Entre Ríos,-32.04777,-60.2811,1
2020-05-02,Río Negro,-40.8,-63,4
2020-05-03,Buenos Aires,-36.15722,-60.56972,11
2020-05-03,CABA,-34.58591,-58.38171,17
2020-05-03,Chaco,-27.45138,-58.98666,2
2020-05-03,Río Negro,-40.8,-63,3
2020-05-04,Buenos Aires,-36.15722,-60.56972,23
2020-05-04,CABA,-34.58591,-58.38171,33
2020-05-04,Chaco,-27.45138,-58.98666,2
2020-05-04,Mendoza,-32.89027,-68.84722,1
2020-05-04,Río Negro,-40.8,-63,2
2020-05-05,Buenos Aires,-36.15722,-60.56972,20
2020-05-05,CABA,-34.58591,-58.38171,57
2020-05-05,Chaco,-27.45138,-58.98666,2
2020-05-05,Córdoba,-32,-64,1
2020-05-05,Río Negro,-40.8,-63,2
2020-05-05,San Juan,-30.86666,-68.98333,1
2020-05-06,Buenos Aires,-36.15722,-60.56972,18
2020-05-06,CABA,-34.58591,-58.38171,44
2020-05-06,Chaco,-27.45138,-58.98666,4
2020-05-06,Mendoza,-32.89027,-68.84722,1
2020-05-06,Río Negro,-40.8,-63,4
2020-05-07,Buenos Aires,-36.15722,-60.56972,23
2020-05-07,CABA,-34.58591,-58.38171,64
2020-05-07,Chaco,-27.45138,-58.98666,4
2020-05-07,Río Negro,-40.8,-63,4
2020-05-08,Buenos Aires,-36.15722,-60.56972,26
2020-05-08,CABA,-34.58591,-58.38171,74
2020-05-08,Chaco,-27.45138,-58.98666,4
2020-05-08,Córdoba,-32,-64,2
2020-05-08,Río Negro,-40.8,-63,5
2020-05-09,Buenos Aires,-36.15722,-60.56972,23
2020-05-09,CABA,-34.58591,-58.38171,54
2020-05-09,Chaco,-27.45138,-58.98666,5
2020-05-09,Córdoba,-32,-64,4
2020-05-09,Mendoza,-32.89027,-68.84722,1
2020-05-09,Neuquén,-38.95166,-68.07444,2
2020-05-09,Río Negro,-40.8,-63,2
2020-05-10,Buenos Aires,-36.15722,-60.56972,17
